review_content,rating,source,date
I hadn't been to the store before and never done the TGTG bags and the staff member was brilliant. a wide range of goodies and good value for money x,5,Google,2021-12-18
great deals!!,5,Google,2021-12-18
awesome app,5,Google,2021-12-18
Great service and tasty food,5,Google,2021-12-18
Happy with the choices in the box - Krispy Kreme . the staff member was very lovely and understanding as I arrived late trying to find the place in the middle of gunwarf shops.,5,Google,2021-12-17
Really glad this app exists and hope to see more companies using it,5,Google,2021-12-17
fantastic,5,Google,2021-12-17
Good concept and initiative. I hope that more restaurants participate. currently the options are extremely limited and need planning for pickup.,5,Google,2021-12-17
So delicious and fresh. I was truly impressed. Staff was super nice. Would definitely recommend this place.,5,Google,2021-12-17
Do not buy any spar ones as they don't exists.,1,Google,2021-12-17
na een break weer opgepakt. voordeel en lekker eten voor kortingsprijzen!,5,Google,2021-12-17
great deals to be had,5,Google,2021-12-17
First order worked great. Good food and quick pick up. Second order was cancelled at the last minute. Pretty annoying.,3,Google,2021-12-17
some stuff good and at one.not so but Greg's is really the best in this area l,4,Google,2021-12-17
absolutely love this app.,5,Google,2021-12-17
"2 various packed cheeses , 1 bar artisan chocolate , 1 caramel brownie. All quite large, all delicious. original prices seemed optimistic",5,Google,2021-12-17
"Some places better than others, but always saving money",5,Google,2021-12-17
Brilliant spot. Tasty Pizza and made in good time with good hygiene on point. ALWAYS smiling when they greety you. I return alot,4,Google,2021-12-17
I keep going to get my magic bag but always gets cancelled before I can collect tonight was just 2 mins from pick up time there was 3 bags left when I ordered Such a shame have to drive just have it cancelled,2,Google,2021-12-17
really cool idea,1,Google,2021-12-17
"5⭐ concept, 3⭐ execution. Great for discovering new places but a tedious app to use. No way to sort by common sense filters like distance, time of day, or type of food. ""Nearby"" includes places 40+mins away on foot. Save list is jumbled, not even sorted by different cities. Users should be able to check off even general categories of the food they received so people can know what variety is possible. Went to a dinner spot but got cookies and bread. Still using app, but hoping for improvements.",3,Google,2021-12-17
Brilliant idea to avoid food waste. Totally dependent on local stores and takeaways to sign up but those that have signed up have good offers. App is easy to use though the odd glitch when paying with PayPal.,5,Google,2021-12-17
"beautiful food, lovely staff!! good price, will be going again!!",5,Google,2021-12-17
All of the products were expired! A smoothie since September!!!! It was a surprise bag but the surprise is that the products were 90% not edible. What a joke!,2,Google,2021-12-17
Designed by fools. Why is the app locked after making a payment - waiting for confirmation? I get confirmation immediately but the app is locked for > five minutes. Obviously if payment fails then reservation can be cancelled. Unless you are deliberately preventing me from making another reservation?,2,Google,2021-12-17
"What more could you ask for, The app that you can get great foods for minimal money 👍👍",5,Google,2021-12-17
Good for people on a budget as well as help ing to cut food waste.,4,Google,2021-12-17
I like the app. It's a good idea. A lot of places are a bit too far away for me though. There's ups and downs with food. I've had chicken that smelled bad. I've had a carrier bag full of lovely food. I've had only 3 small things too that was not worth the drive. Never had a problem with the app itself. I'm going vegan soon. So see how that works out.,4,Google,2021-12-17
"love it, had some great bargains",5,Google,2021-12-17
Great deal on great food,5,Google,2021-12-17
"Interesting, would try again! I like its idea theres something good about it.",4,Google,2021-12-17
"wow....Richard the owner....spectacular guy. Super friendly staff, great service and wow food is delicious. Our deli...An asset in Hale!",5,Google,2021-12-17
pretty good app refunds are abit of a fuss some shops not open when they say other then tht pretty good,3,Google,2021-12-17
"The idea is great, but the app is very buggy, it often crashes when I try to place an order and charges me twice. You cannot cancel your order within 2 hours of pick up time, in this case it is awful. And it is really hard to get reply of customer support, for this one reason, I might never use the app ever again.",2,Google,2021-12-16
First time and it won't be the last .What a bargain!!,5,Google,2021-12-16
Excellent selection.,5,Google,2021-12-16
great way to save money and try new local businesses,5,Google,2021-12-16
Fantastic i love this app has food is not wasted. Brilliant idea,5,Google,2021-12-16
Really great app!,5,Google,2021-12-16
Very useful,5,Google,2021-12-16
I'm conflicted on giving this a great rating because I want this to stay a secret it's SO GOOD!,5,Google,2021-12-16
For me it's a way to help reduce food waste and try different restaurants.,4,Google,2021-12-16
easy transaction....it was a good amount of food!,5,Google,2021-12-16
Great app,4,Google,2021-12-16
Well worth the money,5,Google,2021-12-15
shocked at how much we were given for so little. Much better than it being thrown away,4,Google,2021-12-15
"Cool App My son recommended this app, but I haven't use yet, I am Homebound and I'm not sure they do deliveries.",4,Google,2021-12-15
This app makes my life easier and keeps me happy,5,Google,2021-12-15
"This is my first time to use this;""Too good to go"". I am very Happy. The bag contained food we otherwise could not afford. This is not a cliché, I am being honest, truly. I am going to use this app, as my family are ecstatic with their Dinner tonight. ""Thank You Morrisons"" this is a Fantastic App. It is a wonderful way of feeding anyone's family, food at a much reduced price. Lastly, 'no waste'! ;) x",5,Google,2021-12-15
really good app easy to use,5,Google,2021-12-15
"Surprised at the quantity and variety, excellent value for money, recommend you try for yourself. Easy to use app and Greggs staff was very helpful.",5,Google,2021-12-15
fabulous value but only if you enjoy fruit and veg,5,Google,2021-12-15
Anyone giving a negative review is looking for cheap good instead of saving food ...it an ethos ! Get over it 🙄,5,Google,2021-12-15
Brilliant idea but I seem to miss most magic bags no matter what time I look,5,Google,2021-12-15
Amazing app!,5,Google,2021-12-15
very friendly mam serving,5,Google,2021-12-15
"Does not let you delete your account. They send you a link, and then say the link is expired even though it was sent seconds ago. Attempted on multiple browsers and devices so I am certain the problem is not my fault.",1,Google,2021-12-15
really good to help tackle waste,5,Google,2021-12-15
Good app but the payment part is always a problem. I have never received a confirmation of payment in the app and always had to kill it or find some work around in order to react,4,Google,2021-12-15
"I love this scheme you are doing your bit while stuffing your face with delicious food, what more could you want! 😆",5,Google,2021-12-15
Very great concept,5,Google,2021-12-15
Sadly now to sign in you get a link to email instead of passwords.. As someone who uses a password manager and has had emails hacked before with 700 scam emails a day I no longer can use this service.,1,Google,2021-12-15
wow amazing amount of lovely looking food!,5,Google,2021-12-15
"Please do not use sign-in by email, this is horrible, use some fingerprint. The UX of leaving the app, click in another app, spam my email box is just annoying @@",1,Google,2021-12-15
"Very good concept, app, etc.pp. Sadly the app is having problems processing payments with PayPal recently, I get stuck on the screen to wait for payment confirmation for ever. If I then cancel the order (after some time) it says ""Too late to cancel"" and I have successfully ordered my food. Problem is, a) not a very smooth process and b) if I cancel too quickly it gets canceled for real. I don't know how to send a but report. Multiple reinstallation did not help.",3,Google,2021-12-15
It's a great concept that unfortunately you have chosen to make absolutely insufferable to use I'll not be supporting idiocy like making people use multiple separate platforms every time they wanna log in. Why are you trying to waste people's time instead of streamlining things? I'll be deleting my account and the app,2,Google,2021-12-15
Well worth the money,5,Google,2021-12-15
So proud to finnaly see this happening,5,Google,2021-12-15
"easy app to use, fantastic amount of food friendly staff",5,Google,2021-12-15
Good choices and value,5,Google,2021-12-14
great app especially if ur not a baller some of the stuff u get from the app are a bit dump other stuff are bang on and the app works really well never had no issues or owt,5,Google,2021-12-14
"only tried greegs and we was all happy and had something, there's 5 of us",5,Google,2021-12-14
"best app,",5,Google,2021-12-14
amazing value for money!,5,Google,2021-12-14
"Cheap way to treat yourself and stop food waste, love it",5,Google,2021-12-14
"First time I've had magic bag from this store and was very happy, even got the rare option to choose what I got.",5,Google,2021-12-14
Very good quality and friendly,5,Google,2021-12-14
"you're greeted as though you're an old friend, offered a hot drink and given hot meals and as much food as you can possibly carry. Added Feel Good factor, knowing the money you've paid goes into helping Swansea's vulnerable people",5,Google,2021-12-14
Very friendly staff and easy to find,5,Google,2021-12-14
"Can we please have an alert option. I have used this app weekly for over a year now and never been able to grab anything from a couple of my favorites, ""sold out 1 hour ago"" so many times. ... Other than that. Great app",4,Google,2021-12-14
"I bought from three store first one gave me a box filled with expired stuff and by expired I mean a year and plus expired and I paid for it and contacted support and they never solved it so stole my money. Second store, I show up and they tell me they don't know why I'm here and there was nothing to give me that day. I paid for 2 and left with nothing. I contacted support and nothing so again stole my money. Third one just wasn't worth it overall small quantity was like 1$ cheap compare to fresh",1,Google,2021-12-14
Middle class trash,1,Google,2021-12-14
"I give 1 star for the simple reason, if you never heard of this service. That means bingo! So haven't the bar and grill that I went to after paying online to pick up a tidy meal. Normally (apparently) the app saves food from being thrown away. Horrible experience when I went to get the food, they never saw an order or even heard about [Too Good To Go]. I never got a refund luckily it was under 10 bucks.",1,Google,2021-12-14
"Great app, great pricing and customer service I just wish more places worked with them outside of major cities",5,Google,2021-12-14
Great food at good prices,5,Google,2021-12-13
fabulous 👌,5,Google,2021-12-13
first time getting a carvery from here and would definitely go back..it was delicious,5,Google,2021-12-13
Great food. fast service. lovely staff,5,Google,2021-12-13
Good to get food that may be thrown away at a great price. Works well.,5,Google,2021-12-13
great deals,5,Google,2021-12-13
"Great value, tasty treats for a fraction of the normal price. Also a saving on food waste so a win win for everyone.",5,Google,2021-12-13
Great,5,Google,2021-12-13
The app is forcing an update or it won't open. Uninstalled.,2,Google,2021-12-13
Always good,5,Google,2021-12-13
"Brilliant idea and daughter loved her,""picnic tea""",5,Google,2021-12-13
Would definitely recommend,5,Google,2021-12-13
Great value.Al items still in perfect condition.No hassle or fuss during collection.Great Service.happy customer 🙌,5,Google,2021-12-12
Super easy and handy app to fight food wastage,5,Google,2021-12-12
Great way to get some treats while lowering food waste and saving ££££,5,Google,2021-12-12
Love it,5,Google,2021-12-12
This app is awesome especially for people who are struggling financially! Highly recommended 👌👌👌,5,Google,2021-12-12
Great food and easy collection 👌,5,Google,2021-12-12
ancora pochi aderenti nelle città minori,3,Google,2021-12-12
"Good idea, but useless. Went through the whole process before discovering there is no stores within 100km... Looks like nothing in Canada at all (definitely not Alberta).",1,Google,2021-12-12
"It a good way to use up food and you don't have to stand and wait for them to get everything ready it's waiting for you to pick up. Also it's a lovely when you get home and open the bags it's a great surprise, and it don't get going to the landfill.",5,Google,2021-12-11
great,5,Google,2021-12-11
"staff were friendly and helpful, I got a great deal and bacon roll breakfasts for my boys tomorrow plus some lovely cakes too, first time use of this app and it's definitely well worth it 5*",5,Google,2021-12-11
Notifying me after all sold out 😂😂😂,2,Google,2021-12-11
"Great app! The food you get is pot luck, but is great value. You'll quickly get favorite shops, hopefully more choice will come as the app becomes more popular. Only slight negative is that some shops are using this to offload stuff tht should be thrown away, but I contacted support and they resolved it for me. Pay attention to the ratings.",4,Google,2021-12-11
"Easy to use, saves money when broke, prevents food waste. What more do you want?",5,Google,2021-12-11
"Does what it's supposed to do decently. Would work better if you could sort by time and hours of operation. Also, a way to mark places I want to try, so they'll alert me before they sell out. And these places should have to provide a sample menu. Not the whole list, but at least tell what the options are. Too much stuff I don't want.",3,Google,2021-12-11
It does exactly what it says it does efficiently. Saving food and filling bellies for a discount.,5,Google,2021-12-11
"Well, I've only done 2 different vendors. The first was a donut shop and I bought 2 bags. Horrible plain jane doughnuts and not that great either. Regular glazed cake and chocolate glazed blah! The second one I bought was from a fresh pasta store. Now that was a hit!",4,Google,2021-12-11
Still in my first week. And I'm looking forward for more great deals ahead,5,Google,2021-12-11
loving the app.,5,Google,2021-12-10
AT FIRST: 1) Lovely experience. charming staff. moderately hi end cafes. GOTO Bag: dairyogurt stuffs + a very very tasty cheese-sauced heatable main dish. 2) NO GOOD FOR ME anymore... WRONG INFO + NYC oversold😮 thanks 4 some early finds. UPDATE: my mobile phone refuses my entry into TOO GOOD TO GO because their update demands much more available bites than I can access.😮😂 GOODBYE🚀,2,Google,2021-12-10
"Have had two magic bags I've been happy with, and one that was cancelled with relatively short notice.",3,Google,2021-12-10
Great way to save food waste!,5,Google,2021-12-10
I love goodtogo from starbucks ..its a gr8 variety of savory and sweet treats and i freeze alot of my goods and they last longer 💖💖💖,5,Google,2021-12-10
Great way of cutting down food wastage. App easy to use 👍🏻,5,Google,2021-12-10
Everything near my area is always sold out hours before the deal is supoosed to be open?,1,Google,2021-12-10
Just loaded and two Toby dinners just across town cm2,5,Google,2021-12-10
"good app and concept but there's a lot of competition for the best options on the app. that means some of them sell out in one minute or two minutes. Options depend on what city you're in.... But it is good in queens, Manhattan, and Washington dc.",5,Google,2021-12-10
"fantastic app and use it so much, what value for money these stores provide",5,Google,2021-12-10
Always find something I like.,4,Google,2021-12-10
marvelous,5,Google,2021-12-10
my favourites are never available,3,Google,2021-12-10
"This app actually made many employees lives worse by taking up the good they leave to employes, when companies are left with more groceries or backing items etc., Too bad make money even there.",1,Google,2021-12-10
Great idea and execution in a straightforward app.,5,Google,2021-12-10
This is a fun app. Great way to try new places without having to pay expensive prices.,5,Google,2021-12-10
too good to miss out on!,5,Google,2021-12-10
"Good value, reduces food waste",4,Google,2021-12-10
"Delicious. Crisp on the outside, chewy on the inside.",5,Google,2021-12-09
Excellent,5,Google,2021-12-09
Great for the environment and the taste buds :),5,Google,2021-12-09
friendly staff value for money,5,Google,2021-12-09
Fab food at cheap prices,5,Google,2021-12-09
"Very meaningful concept, delivered in a user-friendly way. App is easy to use, payment was smooth and collection was efficient. And of course the food was awesome yet affordable (: keep it up!",5,Google,2021-12-09
value for money speedy service and polite staff,5,Google,2021-12-09
"fantastic range of food, good quality and very friendly staff. thank you",5,Google,2021-12-09
no brainer,5,Google,2021-12-09
Fantastic,5,Google,2021-12-09
I have had this app for a while now and there is never anything available in my area .,2,Google,2021-12-09
"such a great selection well worth having ,good customer service too",5,Google,2021-12-09
Great resource for saving good waste with some absolute bargains on,5,Google,2021-12-09
Amazing app!,5,Google,2021-12-09
this app is the dogs bollocks,5,Google,2021-12-09
Good app but GPS shouldn't be necessary after initial selection,4,Google,2021-12-09
"The app is very easy to use. The food quality is great. staff is helpful. Prices are heavily discounted. I can easily recommend this app, service, and idea.",5,Google,2021-12-09
Great value and so easy to use.,5,Google,2021-12-09
great idea and would be even better if more places participated.,4,Google,2021-12-09
pretty useless app,1,Google,2021-12-09
amazing,5,Google,2021-12-09
"lovely, quick & friendly service",5,Google,2021-12-08
Nothing in Bexhill unfortunately,1,Google,2021-12-08
Great concept.,5,Google,2021-12-08
The app would be wonderful if it didn't fail to receive my payment 15 times first before it takes my payment. This is everytime let me tell you.... Almost like the people behind the app doesn't want my money when its such a hassle to just pay.,3,Google,2021-12-08
First time I used it. Impressed with the amount and variety of food provided.,5,Google,2021-12-08
Great initiative! App works well and I totally recommend people to join the fight against food waist.,5,Google,2021-12-08
One of the best app for saving money and helping food not go to waste. My boyfriend and I love it. Only thing is i wish we could see people's comments on reviews.,4,Google,2021-12-08
Jesus Love Me ❤ 💙💯🙏,5,Google,2021-12-08
